DocType: Custom Field,Adds a custom field to a DocType,አንድ DocType ወደ ብጁ መስክ ያክላል
DocType: Email Account,Default Outgoing,ነባሪ የወጪ
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +148,Please save the report first,መጀመሪያ ሪፖርት ማስቀመጥ እባክዎ
DocType: ToDo,Assigned By,በ የተመደበው
DocType: Footer Item,"Select target = ""_blank"" to open in a new page.",ዒላማ ይምረጡ = &quot;ባዶን&quot; አንድ አዲስ ገጽ ውስጥ ለመክፈት.
DocType: Website Settings,Home Page,መነሻ ገጽ
DocType: Error Log,Title,አርእስት
DocType: Workflow Document State,0 - Draft; 1 - Submitted; 2 - Cancelled,0 - ረቂቅ; 1 - ገብቷል; 2 - ተሰርዟል
DocType: Contact Us Settings,Query Options,የመጠይቅ አማራጮች
apps/frappe/frappe/desk/page/applications/applications.js +47,Developer Tools,የገንቢ መሳሪያዎች
apps/frappe/frappe/public/js/frappe/views/reports/grid_report.js +305,From Date must be before To Date,ቀን ጀምሮ እስከ ቀን በፊት መሆን አለበት
apps/frappe/frappe/desk/doctype/bulk_update/bulk_update.py +40,Updating Records,በማዘመን ላይ መዛግብት
apps/frappe/frappe/public/js/frappe/request.js +75,The resource you are looking for is not available,እናንተ የምትፈልጉት ሃብት አይገኝም
DocType: About Us Settings,Team Members,ቡድን አባላት
apps/frappe/frappe/integrations/doctype/dropbox_settings/dropbox_settings.py +49,Please install dropbox python module,መሸወጃ ማየታችንን ሞዱል ይጫኑ
DocType: Communication,Keep a track of all communications,ሁሉንም ግንኙነቶች አንድ ይከታተሉ
DocType: Website Theme,lowercase,ፊደሎች
apps/frappe/frappe/public/js/frappe/ui/editor.html +61,Align Right (Ctrl/Cmd+R),አሰልፍ ቀኝ (Ctrl / Cmd + R)
,Messages,መልዕክቶች
apps/frappe/frappe/public/js/frappe/views/communication.js +78,Select Languages,ይምረጡ ቋንቋዎች
DocType: Print Format,Custom HTML Help,ብጁ ኤችቲኤምኤል እገዛ
DocType: User,Roles HTML,ሚናዎችን ኤችቲኤምኤል
apps/frappe/frappe/integrations/doctype/paypal_settings/paypal_settings.py +302,Looks like something is wrong with this site's Paypal configuration. Don't worry! No payment has been made from your Paypal account.,ነገር ይመስላል በዚህ ጣቢያ የ Paypal ውቅር ጋር ስህተት ነው. አታስብ! ምንም የክፍያ የ Paypal መለያ ተደርጓል.
DocType: Desktop Icon,Page,ገጽ
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +126,Cannot delete standard field. You can hide it if you want,መደበኛ መስክ መሰረዝ አልተቻለም. የሚፈልጉ ከሆነ ይህን መደበቅ ትችላለህ
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +111,Open a module or tool,አንድ ሞዱል ወይም መሣሪያ ይክፈቱ
DocType: Company History,Year,አመት
DocType: Event,Private,የግል
DocType: User,Facebook User ID,የፌስቡክ ተጠቃሚ መታወቂያ
apps/frappe/frappe/website/doctype/blog_post/blog_post.py +83,1 comment,1 አስተያየት
apps/frappe/frappe/public/js/frappe/views/container.js +61,Page not found,ገጹ አልተገኘም
DocType: Custom Field,Field Description,የመስክ መግለጫ
DocType: DocType,User Cannot Search,ተጠቃሚ ይፈልጉ አይቻልም
DocType: Blogger,Will be used in url (usually first name).,ዩ አር ኤል (አብዛኛውን ጊዜ የመጀመሪያ ስም) ውስጥ ጥቅም ላይ ይውላል.
DocType: Event,Public,ሕዝባዊ
apps/frappe/frappe/model/delete_doc.py +213,"Cannot delete or cancel because {0} <a href=""#Form/{0}/{1}"">{1}</a> is linked with {2} <a href=""#Form/{2}/{3}"">{3}</a> {4}","መሰረዝ ወይም {0} ስለ ማስቀረት አይቻልም <a href=""#Form/{0}/{1}"">{1}</a> ጋር የተያያዘ ነው {2} <a href=""#Form/{2}/{3}"">{3}</a> {4}"
DocType: DocType,Hide Heading,ደብቅ HEADING
apps/frappe/frappe/public/js/frappe/views/communication.js +294,Add Attachment,አባሪ አክል
DocType: Web Form,Allow Comments,አስተያየቶች ፍቀድ
DocType: DocType,Allow Rename,ይቀየር ፍቀድ
DocType: Email Group Member,Email Group Member,የቡድን አባል ኢሜይል
apps/frappe/frappe/public/js/frappe/views/reports/query_report.js +52,"For comparative filters, start with",ንጽጽራዊ ማጣሪያዎች ጋር መጀመር
apps/frappe/frappe/public/js/frappe/ui/editor.html +24,Paragraph,አንቀጽ
DocType: Workflow Transition,Defines actions on states and the next step and allowed roles.,ግዛቶች ላይ እርምጃዎች እና ወደ ቀጣዩ ደረጃ እና ፈቀደ ሚናዎች ይገልፃል.
DocType: Workflow State,circle-arrow-down,ክበብ-ቀስት ወደ ታች
apps/frappe/frappe/public/js/frappe/upload.js +156,Uploading...,በመስቀል ላይ ...
apps/frappe/frappe/config/setup.py +249,Add your own translations,የእራስዎ ትርጉሞችን ያክሉ
apps/frappe/frappe/core/doctype/file/file_list.js +200,New,አዲስ
apps/frappe/frappe/templates/emails/print_link.html +2,View this in your browser,በአሳሽዎ ውስጥ ይህን ይመልከቱ
apps/frappe/frappe/utils/csvutils.py +27,File not attached,ፋይል አልተያያዘም
DocType: Workflow State,asterisk,ኮከባዊ ምልክት
apps/frappe/frappe/public/js/frappe/views/reports/query_report.js +71,You are not allowed to create / edit reports,አንተ / አርትዕ ሪፖርቶችን መፍጠር አይፈቀድም
DocType: Workflow State,Comment,አስተያየት
apps/frappe/frappe/templates/includes/list/filters.html +19,clear,ግልጽ
DocType: User,Roles Assigned,ሚናዎችን የተመደበው
DocType: Email Account,Append To,ወደ ጨምር
DocType: Integration Request,Integration Request Service,ውህደት ይጠይቁ አገልግሎት
apps/frappe/frappe/public/js/frappe/model/model.js +26,Assigned To,የተመደበ
apps/frappe/frappe/model/db_schema.py +560,Fieldname {0} cannot have special characters like {1},Fieldname {0} እንደ ልዩ ቁምፊዎችን ሊኖረው አይችልም {1}
DocType: About Us Team Member,Image Link,ምስል አገናኝ
DocType: OAuth Client,Token,ማስመሰያ
DocType: DocField,Default,ነባሪ
DocType: DocType,ASC,ASC
apps/frappe/frappe/public/js/frappe/model/model.js +24,Liked By,በ የተወደደ
apps/frappe/frappe/model/base_document.py +358,{0} must be unique,{0} ልዩ መሆን አለበት
apps/frappe/frappe/core/doctype/report/report.js +37,Enable Report,ሪፖርት አንቃ
apps/frappe/frappe/public/js/frappe/toolbar.js +28,Email Support,የኢሜይል ድጋፍ
apps/frappe/frappe/email/doctype/email_group/email_group.py +102,Please Upgrade to add more than {0} subscribers,ከ {0} ተመዝጋቢዎች ለማከል ያልቁ እባክዎ
apps/frappe/frappe/model/rename_doc.py +112,"Another {0} with name {1} exists, select another name","ሌላው {0} ስም {1} አለ ጋር, ሌላ ስም ይምረጡ"
DocType: Web Form,Payment Gateway,የክፍያ ጌትዌይ
apps/frappe/frappe/public/js/frappe/form/control.js +1567,Please set {0} first,በመጀመሪያ {0} ማዘጋጀት እባክዎ
apps/frappe/frappe/email/smtp.py +201,Unable to send emails at this time,በዚህ ጊዜ ኢሜይሎችን መላክ አልተቻለም
apps/frappe/frappe/public/js/frappe/form/control.js +975,Select from existing attachments,ነባር አባሪዎችን ይምረጡ
DocType: System Settings,Date Format,ቀን ቅርጸት
DocType: User,Send Notifications for Transactions I Follow,እኔ ተከተለኝ የግብይት ማሳወቂያዎች ላክ
apps/frappe/frappe/model/base_document.py +533,"{0} {1} cannot be ""{2}"". It should be one of ""{3}""",{0} {1} ሊሆን አይችልም &quot;{2}». ከዚህ ውስጥ አንዱ መሆን አለበት &quot;{3}»
apps/frappe/frappe/core/doctype/file/file.py +214,Folder {0} is not empty,አቃፊ {0} ባዶ አይደለም
DocType: Web Page,Header,የራስጌ
apps/frappe/frappe/desk/form/utils.py +55,This method can only be used to create a Comment,ይህ ዘዴ ብቻ አስተያየት ለመፍጠር ጥቅም ላይ ሊውል ይችላል
apps/frappe/frappe/public/js/frappe/form/workflow.js +116,To,ወደ
DocType: Email Account,e.g. smtp.gmail.com,ለምሳሌ smtp.gmail.com
apps/frappe/frappe/public/js/frappe/model/model.js +479,Merge with existing,ነባር ጋር አዋህድ
apps/frappe/frappe/website/doctype/blog_post/blog_post.py +108,Posts by {0},ልጥፎች {0}
DocType: Email Account,SMTP Server,SMTP አገልጋይ
DocType: Web Form,Accept Payment,ክፍያ ተቀበል
DocType: Communication,Message ID,የመልዕክት መታወቂያ
DocType: DocType,Single Types have only one record no tables associated. Values are stored in tabSingles,ነጠላ ዓይነቶች የተጎዳኘ ብቻ አንድ ዘገባ ምንም ሰንጠረዦች የላቸውም. እሴቶች tabSingles ውስጥ ይከማቻሉ
apps/frappe/frappe/core/doctype/report/report.py +29,Only Administrator can save a standard report. Please rename and save.,ብቻ አስተዳዳሪ መደበኛ ሪፖርት ማስቀመጥ ይችላሉ. ዳግም መሰየም እና ያስቀምጡ.
apps/frappe/frappe/email/doctype/email_group/email_group.js +43,New Newsletter,አዲስ ጋዜጣ
apps/frappe/frappe/desk/page/applications/applications.js +61,Search Results,የፍለጋ ውጤቶች
apps/frappe/frappe/public/js/frappe/form/link_selector.js +102,No Results,ምንም ውጤቶች
DocType: About Us Settings,Website Manager,የድር ጣቢያ አስተዳዳሪ
apps/frappe/frappe/core/doctype/user/user.js +170,Clear all roles,ሁሉም ሚናዎች አጽዳ
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +125,{0} Report,{0} ሪፖርት
DocType: Language,Based On,በዛላይ ተመስርቶ
apps/frappe/frappe/core/page/data_import_tool/exporter.py +69,"""Parent"" signifies the parent table in which this row must be added",&quot;ወላጅ&quot; በዚህ ረድፍ መታከል አለበት ውስጥ ወላጅ ጠረጴዛ ያመለክታል
DocType: Workflow,Transition Rules,የሽግግር ደንቦች
DocType: Contact Us Settings,Address Line 1,አድራሻ መስመር 1
apps/frappe/frappe/core/doctype/error_snapshot/error_snapshot_list.js +11,First Level,በመጀመሪያ ደረጃ
apps/frappe/frappe/config/setup.py +211,"Enter keys to enable login via Facebook, Google, GitHub.","በፌስቡክ, በ Google, የፊልሙ በኩል መግቢያ ለማንቃት ቁልፎች ያስገቡ."
apps/frappe/frappe/model/document.py +523,Error: Document has been modified after you have opened it,ስህተት: እናንተ ከፍተዋል በኋላ ሰነድ ተቀይሯል
DocType: DocShare,Document Type,የሰነድ አይነት
DocType: Web Form,Breadcrumbs,የዳቦ ፍርፋሪ
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +219,Permissions can be managed via Setup &gt; Role Permissions Manager,ፍቃዶች ማዋቀር&gt; ሚና ፍቃዶች አስተዳዳሪ በኩል ሊደራጅ ይችላል
DocType: Auto Email Report,Monthly,ወርሃዊ
DocType: Report,JavaScript Format: frappe.query_reports['REPORTNAME'] = {},ጃቫስክሪፕት ቅርጸት: frappe.query_reports [ &#39;REPORTNAME&#39;] = {}
DocType: Event,Ref Name,ማጣቀሻ ስም
DocType: DocField,Data,መረጃ
apps/frappe/frappe/core/doctype/file/test_file.py +74,Home/Test Folder 1/Test Folder 3,መነሻ / የሙከራ አቃፊ 1 / የሙከራ አቃፊ 3
apps/frappe/frappe/model/db_query.py +361,No permission to read {0},ፈቃድ የለም ለማንበብ {0}
DocType: Print Settings,Modern,ዘመናዊ
apps/frappe/frappe/public/js/frappe/ui/filters/edit_filter.html +6,Equals,እኩል
apps/frappe/frappe/utils/password_strength.py +146,This is a top-100 common password.,ይህ ከፍተኛ-100 የጋራ የይለፍ ቃል ነው.
apps/frappe/frappe/public/js/frappe/request.js +74,Not Found,አልተገኘም
DocType: Email Account,If non standard port (e.g. 587),ያልሆነ መደበኛ ወደብ ከሆነ (ለምሳሌ 587)
apps/frappe/frappe/core/page/data_import_tool/exporter.py +62,First data column must be blank.,የመጀመሪያው ውሂብ ዓምድ ባዶ መሆን አለበት.
apps/frappe/frappe/core/doctype/user/user.py +163,New password emailed,አዲስ የይለፍ ቃል ኢሜይል
apps/frappe/frappe/core/page/data_import_tool/importer.py +44,Please do not change the rows above {0},ከላይ ረድፎች መቀየር አይደለም እባክዎ {0}
DocType: Website Slideshow,Slideshow like display for the website,ድር ጣቢያ ማሳያ እንደ የተንሸራታች ትዕይንት
DocType: DocField,No Copy,ምንም ቅዳ
apps/frappe/frappe/core/page/usage_info/usage_info.html +21,Max Users,ከፍተኛ ተጠቃሚዎች
DocType: Custom Field,Depends On,እንደ ሁኔታው
DocType: DocType,System,ስርዓት
apps/frappe/frappe/config/website.py +38,Write titles and introductions to your blog.,የእርስዎ ጦማር ርዕሶች እና መግቢያ ጻፍ.
DocType: Workflow State,pencil,እርሳስ
DocType: Integration Request,Completed,የተጠናቀቁ
DocType: DocPerm,Level,ደረጃ
apps/frappe/frappe/public/js/frappe/form/templates/print_layout.html +22,Full Page,ሙሉ ገጽ
DocType: Communication,Type,ዓይነት
apps/frappe/frappe/core/doctype/communication/communication.js +8,View,ይመልከቱ
DocType: Workflow State,share,ያጋሩ
DocType: Website Theme,Google Font (Heading),የ Google ቅርጸ ቁምፊ (ርዕስ የለም)
DocType: Contact Us Settings,Settings for Contact Us Page,ያግኙን ገጽ ቅንብሮች
DocType: Workflow State,shopping-cart,የግዢ-ጋሪ
apps/frappe/frappe/core/doctype/userrole/userrole.py +14,User '{0}' already has the role '{1}',አባል «{0}» ቀደም ሚና አለው «{1}»
apps/frappe/frappe/config/desk.py +36,Event and other calendars.,ክስተት እና ሌሎች የቀን መቁጠሪያዎች.
DocType: DocType,MyISAM,MyISAM
DocType: OAuth Bearer Token,Access Token,የመዳረሻ ማስመሰያ
apps/frappe/frappe/utils/password_strength.py +78,Short keyboard patterns are easy to guess,አጭር ሰሌዳ ቅጦችን ለመገመት ቀላል ናቸው
DocType: Blogger,Posts,ልጥፎች
apps/frappe/frappe/core/report/permitted_documents_for_user/permitted_documents_for_user.py +33,Please specify user,ተጠቃሚ እባክዎን ይግለጹ
apps/frappe/frappe/core/doctype/doctype/doctype.py +364,Default for 'Check' type of field must be either '0' or '1',መስክ ላይ &#39;ይመልከቱ »አይነት ነባሪ ወይ&#39; 0 &#39;ወይም&#39; 1 &#39;መሆን አለበት
apps/frappe/frappe/modules/utils.py +192,App not found,መተግበሪያ አልተገኘም
DocType: Website Script,Script to attach to all web pages.,ስክሪፕት ሁሉንም ድረ ገጾች ጋር ለማያያዝ.
DocType: DocType,Name Case,ስም መያዣ
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +429,No permission to edit,ፈቃድ የለም አርትዕ ለማድረግ
apps/frappe/frappe/desk/form/assign_to.py +41,Already in user's To Do list,አስቀድሞ ተጠቃሚ ውስጥ ዝርዝር አድርግ ወደ
DocType: Workflow State,cog,እሽክርክሪት
DocType: Print Settings,Print Settings,የህትመት ቅንብሮች
DocType: Event,Monday,ሰኞ
DocType: Custom Field,Insert After,በኋላ አስገባ
apps/frappe/frappe/model/document.py +624,Cannot link cancelled document: {0},ተሰርዟል ሰነድ ማገናኘት አልተቻለም: {0}
apps/frappe/frappe/public/js/frappe/form/workflow.js +117,is not allowed.,አይፈቀድም.
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +83,Do not send Emails.,ኢሜይሎች አይላኩ.
DocType: Portal Settings,Hide Standard Menu,መደበኛ ምናሌ ደብቅ
DocType: OAuth Provider Settings,Force,ኃይል
apps/frappe/frappe/public/js/frappe/model/model.js +476,Rename {0},ሰይም {0}
DocType: Currency,"Sub-currency. For e.g. ""Cent""",ንዑስ-ምንዛሬ. ለምሳሌ &quot;ሳንቲም&quot; ለ
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +50,What do you need help with?,ምን ጋር እርዳታ የሚያስፈልጋቸው ለምንድን ነው?
apps/frappe/frappe/config/setup.py +205,Install Applications.,መተግበሪያዎች ይጫኑ.
,Background Jobs,የጀርባ ስራዎች
apps/frappe/frappe/core/doctype/doctype/doctype.py +360,Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType',የሜዳ አማራጮች &#39;ተለዋዋጭ አገናኝ&#39; አይነት &#39;DocType&#39; እንደ አማራጮች ጋር ሌላ አገናኝ መስክ ላይ መጥቀስ አለባቸው
apps/frappe/frappe/email/doctype/newsletter/newsletter.py +101,{0} has been successfully unsubscribed from this list.,{0} ከዚህ ዝርዝር በተሳካ ሁኔታ ከደንበኝነት ምዝገባ ወጥቷል.
apps/frappe/frappe/auth.py +81,Invalid Request,ልክ ያልሆነ ጥያቄ
DocType: Communication,Timeline DocType,የጊዜ መስመር DocType
DocType: Integration Service Parameter,Parameter,የልኬት
DocType: DocField,Set Only Once,ብቻ አንዴ አዘጋጅ
DocType: System Settings,System Settings,የስርዓት ቅንብሮች
apps/frappe/frappe/config/setup.py +19,User Roles,የተጠቃሚ ሚናዎችን
DocType: Communication,Linked,የተገናኙ
apps/frappe/frappe/core/page/data_import_tool/data_import_tool.py +13,Start entering data below this line,በዚህ መስመር በታች ውሂብ በማስገባት ይጀምሩ
apps/frappe/frappe/desk/page/applications/applications.js +46,Domains,ጎራዎች
apps/frappe/frappe/core/doctype/doctype/doctype.py +577,{0}: Cannot set Amend without Cancel,{0}: ያለ ይቅር እንዲሻሻል ማዘጋጀት አይቻልም
apps/frappe/frappe/public/js/frappe/ui/filters/filters.js +662,Like,እንደ
DocType: DocPerm,Apply User Permissions,የተጠቃሚ ፍቃዶችን ተግብር
DocType: Blog Settings,Blog Introduction,የጦማር መግቢያ
DocType: Communication,Unread Notification Sent,የተላከ ያልተነበበ ማሳወቂያ
DocType: Workflow State,fast-forward,በፍጥነት ወደፊት
apps/frappe/frappe/email/smtp.py +27,Invalid recipient address,ልክ ያልሆነ የተቀባይ አድራሻ
apps/frappe/frappe/email/doctype/email_unsubscribe/email_unsubscribe.py +38,Left this conversation,ከዚህ ውይይት ወጥተዋል
apps/frappe/frappe/templates/generators/web_form.html +232,Page {0},ገጽ {0}
DocType: Email Account,Notify if unreplied,unreplied ከሆነ አሳውቅ
DocType: DocField,Button,ቁልፍ
apps/frappe/frappe/core/doctype/user/user.py +718,"Dear System Manager,","ውድ የስርዓት አስተዳዳሪ,"
apps/frappe/frappe/custom/doctype/custom_field/custom_field.py +67,"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","መስክ «{0}» ብጁ መስክ ላይ የተጠቀሰው በኋላ አስገባ «{1}», መለያ ጋር «{2}», የለም"
apps/frappe/frappe/utils/password.py +19,Password not found,የይለፍ ቃል አልተገኘም
DocType: ToDo,Reference Type,የማጣቀሻ አይነት
apps/frappe/frappe/core/page/usage_info/usage_info.html +51,Max Emails,ከፍተኛ ኢሜይሎች
apps/frappe/frappe/desk/page/applications/applications.py +91,Downloading App {0},በማውረድ ላይ መተግበሪያ {0}
apps/frappe/frappe/public/js/frappe/desk.js +78,"The application has been updated to a new version, please refresh this page","መተግበሪያው አዲስ ስሪት ወደ ዘምኗል, ይህን ገጽ ያድሱት እባክዎ"
apps/frappe/frappe/desk/page/applications/applications.py +76,Installing App {0},በመጫን ላይ መተግበሪያ {0}
apps/frappe/frappe/core/doctype/user/user.js +160,Add all roles,ሁሉም ድርሻ አክል
apps/frappe/frappe/public/js/frappe/model/create_new.js +270,You have unsaved changes in this form. Please save before you continue.,በዚህ ቅጽ ላይ ያልተቀመጡ ለውጦች አለዎት. ደረጃ ከመሔድ በፊት ያስቀምጡ.
apps/frappe/frappe/core/doctype/error_log/error_log_list.js +7,Not Seen,አይቼዋለሁ አይደለም
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +136,Add to To Do,ማድረግ ወደ አክል
DocType: User,Gender,ፆታ
DocType: Communication,Open,ክፈት
DocType: Web Form,Select DocType,ይምረጡ DocType
DocType: Workflow State,chevron-left,ሸቭሮን-ግራ
apps/frappe/frappe/desk/doctype/todo/todo_list.js +7,To Do,ለመስራት
DocType: Email Alert Recipient,Email Alert Recipient,የኢሜይል ማንቂያ ተቀባይ
apps/frappe/frappe/www/list.py +52,"Filtered by ""{0}""",በ የተጣራ &quot;{0}»
apps/frappe/frappe/core/doctype/doctype/doctype.py +169,Series {0} already used in {1},ቀደም ሲል ጥቅም ላይ ተከታታይ {0} {1}
apps/frappe/frappe/public/js/frappe/form/print.js +166,Warning: This Print Format is in old style and cannot be generated via the API.,ማስጠንቀቂያ: ይህ ህትመት ቅርጸት የድሮ ቅጥ ውስጥ ነው እና ኤ ፒ አይ በኩል ሊፈጠር አይችልም.
DocType: DocField,Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),አንድ ዝርዝር ይመልከቱ ወይም መስመሮች ውስጥ መሬት ዓምዶች ቁጥር (ጠቅላላ አምዶች ያነሰ 11 በላይ መሆን አለበት)
DocType: DocType,Document,ሰነድ
DocType: Workflow State,zoom-in,አቅርብ
DocType: User,Get your globally recognized avatar from Gravatar.com,Gravatar.com ከ በዓለም አቀፍ ደረጃ እውቅና አምሳያ ያግኙ
apps/frappe/frappe/email/doctype/newsletter/newsletter.py +81,Please save the Newsletter before sending,ከመላክህ በፊት ጋዜጣ ላይ ያስቀምጡ
DocType: Communication,Subject,ትምህርት
DocType: Workflow State,screenshot,ቅጽበታዊ ገጽ እይታ
DocType: Property Setter,Set Value,አዘጋጅ እሴት
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +641,Save As,አስቀምጥ እንደ
DocType: About Us Settings,Org History Heading,ርዕስ ድርጅት ታሪክ
DocType: Workflow State,remove-circle,አስወግድ-ክበብ
apps/frappe/frappe/core/page/desktop/all_applications_dialog.html +8,Checked items will be shown on desktop,ምልክት የተደረገባቸው ንጥሎች ዴስክቶፕ ላይ ይታያል
DocType: Note,Seen By Table,ሠንጠረዥ በ ተመልክቻለሁ
DocType: Integration Request,Remote,ሩቅ
DocType: DocField,Fold,አጠፈ
DocType: OAuth Client,Response Type,የምላሽ አይነት
DocType: DocType,Is Single,ነጠላ ነው?
apps/frappe/frappe/desk/like.py +89,Liked,የተወደደ
DocType: Communication,Email Account,የኢሜይል መለያ
DocType: System Settings,mm-dd-yyyy,ወወ-ቀቀ-ዓ.ም
DocType: Event,Ref Type,ማጣቀሻ አይነት
apps/frappe/frappe/core/doctype/file/file.py +224,No permission to write / remove.,ፈቃድ የለም / አስወግድ መጻፍ.
apps/frappe/frappe/website/doctype/website_settings/website_settings.py +34,{0} does not exist in row {1},{0} ረድፍ ውስጥ የለም {1}
apps/frappe/frappe/public/js/frappe/list/doclistview.js +678,Select records for assignment,ምድብ ይምረጡ መዛግብት
apps/frappe/frappe/limits.py +72,Your subscription will expire on {0}.,የእርስዎ የደንበኝነት ምዝገባ ላይ ጊዜው {0}.
DocType: Web Page,HTML for header section. Optional,ራስጌ ክፍል ለ ኤች. ግዴታ ያልሆነ
DocType: DocPerm,This role update User Permissions for a user,አንድ ተጠቃሚ ይህን ሚና ዝማኔ የተጠቃሚ ፍቃዶች
DocType: Workflow State,adjust,ለማስተካከል
apps/frappe/frappe/core/doctype/doctype/doctype.py +579,{0}: Cannot set Import without Create,{0}: ይፍጠሩ ያለ አስመጣ ማዘጋጀት አይቻልም
DocType: Print Settings,Print with letterhead,ደብዳቤ ጋር አትም
apps/frappe/frappe/core/page/data_import_tool/importer.py +49,No data found,ምንም ውሂብ አልተገኘም
DocType: Event,Every Year,በየዓመቱ
DocType: Currency,"How should this currency be formatted? If not set, will use system defaults","ይህን ምንዛሬ እንዴት መቀረጽ አለበት? ካልተዘጋጀ, ሥርዓት ነባሪዎችን ይጠቀማል"
apps/frappe/frappe/email/doctype/email_alert/email_alert.js +64,Get Alerts for Today,በዛሬው ጊዜ ማንቂያዎች ያግኙ
apps/frappe/frappe/email/doctype/email_account/email_account.py +130,Authentication failed while receiving emails from Email Account {0}. Message from server: {1},የኢሜይል መለያ {0} ኢሜይሎች መቀበል ላይ ሳለ ማረጋገጥ አልተሳካም. ከአገልጋዩ መልዕክት: {1}
DocType: Email Account,Default Incoming,ነባሪ ገቢ
apps/frappe/frappe/www/desk.py +18,You are not permitted to access this page.,ይህን ገጽ ለመድረስ አይፈቀድም.
DocType: Tag Category,Category Name,ምድብ ስም
DocType: Email Alert,Send alert if this field's value changes,በዚህ መስክ ያለውን ዋጋ ለውጦች ከሆነ ማንቂያ ላክ
apps/frappe/frappe/public/js/frappe/ui/filters/filters.js +662,In,ውስጥ
apps/frappe/frappe/config/core.py +42,Logs,ምዝግብ ማስታወሻዎች
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +421,If {0} is permitted,{0} አይፈቀድም ከሆነ
apps/frappe/frappe/website/doctype/web_form/web_form.py +61,Amount must be greater than 0.,የገንዘብ መጠን 0 የበለጠ መሆን አለበት.
DocType: DocPerm,DocPerm,DocPerm
DocType: DocField,Code,ኮድ
apps/frappe/frappe/public/js/frappe/form/linked_with.js +25,Linked With,ጋር የተገናኙ
DocType: Event,Starts on,ላይ ይጀምራል
apps/frappe/frappe/share.py +134,No permission to {0} {1} {2},ምንም ፈቃድ {0} {1} {2}
DocType: User,Email Signature,የኢሜይል ፊርማ
DocType: DocPerm,User Permission DocTypes,የተጠቃሚ ፍቃድ DocTypes
DocType: Workflow State,Search,ፍለጋ
apps/frappe/frappe/public/js/frappe/views/reports/grid_report.js +170,Reset Filters,ዳግም አስጀምር ማጣሪያዎች
DocType: Communication,From Full Name,ሙሉ ስም ከ
DocType: Website Settings,Brand,ምልክት
DocType: Contact Us Settings,Introduction,መግቢያ
DocType: Website Theme,Top Bar Text Color,ከፍተኛ አሞሌ የጽሁፍ ቀለም
DocType: User,First Name,የመጀመሪያ ስም
